iso_code,date,new_tests,new_cases,response_ratio
CAN,2020-03-12,4162,9,462.44444444444446
CAN,2020-03-15,2568,54,47.55555555555556
CAN,2020-03-16,12753,163,78.23926380368098
CAN,2020-03-17,6446,63,102.31746031746032
CAN,2020-03-18,9370,179,52.3463687150838
CAN,2020-03-19,12305,143,86.04895104895105
CAN,2020-03-20,10963,143,76.66433566433567
CAN,2020-03-21,12069,334,36.134730538922156
CAN,2020-03-22,9941,192,51.776041666666664
CAN,2020-03-23,8323,619,13.445880452342488
CAN,2020-03-24,17915,702,25.51994301994302
CAN,2020-03-25,22727,461,49.29934924078091
CAN,2020-03-26,13814,791,17.463969658659924
CAN,2020-03-27,9041,640,14.1265625
CAN,2020-03-28,16804,894,18.796420581655482
CAN,2020-03-29,22987,704,32.65198863636363
CAN,2020-03-30,15270,1118,13.658318425760287
CAN,2020-03-31,15433,1129,13.6696191319752
CAN,2020-04-01,15795,1033,15.290416263310746
CAN,2020-04-02,16733,1724,9.705916473317865
CAN,2020-04-03,21399,1153,18.559410234171725
CAN,2020-04-04,16906,541,31.24953789279113
CAN,2020-04-05,12820,2778,4.614830813534917
CAN,2020-04-06,12015,807,14.888475836431226
CAN,2020-04-07,11299,1309,8.631779984721161
CAN,2020-04-08,13864,1269,10.925137903861309
CAN,2020-04-09,13333,1513,8.812293456708526
CAN,2020-04-10,16073,1405,11.439857651245552
CAN,2020-04-11,13276,1257,10.561654733492443
CAN,2020-04-12,17549,983,17.852492370295014
CAN,2020-04-13,15275,1381,11.06082548877625
CAN,2020-04-14,17508,1355,12.921033210332103
CAN,2020-04-15,12753,1174,10.862862010221464
CAN,2020-04-16,19889,2600,7.649615384615385
CAN,2020-04-17,20076,2005,10.012967581047382
CAN,2020-04-18,20356,1542,13.201037613488975
CAN,2020-04-19,21292,1277,16.6734534064213
CAN,2020-04-20,10229,2025,5.051358024691358
CAN,2020-04-21,10300,1744,5.905963302752293
CAN,2020-04-22,42314,2261,18.714727996461743
CAN,2020-04-23,22725,1636,13.890586797066014
CAN,2020-04-24,25191,1620,15.55
CAN,2020-04-25,24163,1452,16.641184573002754
CAN,2020-04-26,23237,1662,13.981347773766545
CAN,2020-04-27,26197,1583,16.548957675300063
CAN,2020-04-28,21095,1534,13.751629726205998
CAN,2020-04-29,24813,1715,14.468221574344023
CAN,2020-04-30,26836,1592,16.85678391959799
CAN,2020-05-01,30472,1886,16.15694591728526
CAN,2020-05-02,29314,1583,18.518003790271635
CAN,2020-05-03,31209,2578,12.105896043444531
CAN,2020-05-04,21924,1453,15.088781830695114
CAN,2020-05-05,23234,1258,18.46899841017488
CAN,2020-05-06,31032,1479,20.981744421906694
CAN,2020-05-07,31660,1507,21.008626410086265
CAN,2020-05-08,29611,1473,20.102511880515955
CAN,2020-05-09,36550,1244,29.381028938906752
CAN,2020-05-10,26065,1173,22.22080136402387
CAN,2020-05-11,24109,1173,20.553282182438192
CAN,2020-05-12,23939,1155,20.726406926406927
CAN,2020-05-13,27304,1149,23.76327241079199
CAN,2020-05-14,30716,1213,25.322341302555646
CAN,2020-05-15,33158,1178,28.147707979626485
CAN,2020-05-16,33508,1247,26.870890136327183
CAN,2020-05-17,30475,1126,27.064831261101244
CAN,2020-05-18,22718,1079,21.054680259499538
CAN,2020-05-19,16524,1082,15.271719038817006
CAN,2020-05-20,35155,1082,32.49075785582255
CAN,2020-05-21,4605,1167,3.9460154241645244
CAN,2020-05-22,25553,1205,21.205809128630705
CAN,2020-05-23,26703,1204,22.178571428571427
CAN,2020-05-24,27301,955,28.58743455497382
CAN,2020-05-25,23180,1013,22.882527147087856
CAN,2020-05-26,20522,971,21.134912461380022
CAN,2020-05-27,27941,899,31.08008898776418
CAN,2020-05-28,54304,987,55.0192502532928
CAN,2020-05-29,11214,933,12.019292604501608
CAN,2020-05-30,37828,772,49
CAN,2020-05-31,31554,798,39.54135338345865
CAN,2020-06-01,30087,809,37.19035846724351
CAN,2020-06-02,28332,672,42.160714285714285
CAN,2020-06-03,31676,681,46.51395007342144
CAN,2020-06-04,35180,628,56.01910828025478
CAN,2020-06-05,39392,678,58.100294985250734
CAN,2020-06-06,37779,528,71.55113636363636
CAN,2020-06-07,28545,703,40.60455192034139
CAN,2020-06-08,33319,601,55.43926788685524
CAN,2020-06-09,25578,462,55.36363636363637
CAN,2020-06-10,33536,479,70.0125260960334
CAN,2020-06-11,39241,439,89.387243735763093
CAN,2020-06-12,43600,436,100
CAN,2020-06-13,41828,448,93.36607142857143
CAN,2020-06-14,38852,361,107.62326869806094
CAN,2020-06-15,30700,359,85.51532033426184
CAN,2020-06-16,33254,324,102.6358024691358
CAN,2020-06-17,37751,404,93.4430693069307
CAN,2020-06-18,40959,386,106.11139896373057
CAN,2020-06-19,44123,437,100.96796338672769
CAN,2020-06-20,43218,448,96.46875
CAN,2020-06-21,32660,316,103.35443037974683
CAN,2020-06-22,28677,340,84.34411764705882
CAN,2020-06-23,38751,349,111.03438395415473
CAN,2020-06-24,35781,320,111.815625
CAN,2020-06-25,39713,376,105.61968085106383
CAN,2020-06-26,39880,166,240.24096385542168
CAN,2020-06-27,42072,249,168.96385542168676
CAN,2020-06-28,36390,315,115.52380952380952
CAN,2020-06-29,44980,637,70.61224489795919
CAN,2020-06-30,48468,267,181.52808988764045
CAN,2020-07-03,37502,319,117.56112852664577
CAN,2020-07-04,29208,223,130.97757847533632
CAN,2020-07-05,25971,209,124.26315789473684
CAN,2020-07-06,34786,421,82.6270783847981
CAN,2020-07-07,44461,208,213.75480769230768
CAN,2020-07-08,35169,311,113.08360128617363
CAN,2020-07-09,42852,322,133.08074534161491
CAN,2020-07-10,44509,328,135.6981707317073
CAN,2020-07-11,40814,166,245.86746987951807
CAN,2020-07-12,29363,198,148.2979797979798
CAN,2020-07-13,44729,636,70.32861635220125
CAN,2020-07-14,44875,366,122.60928961748634
CAN,2020-07-15,39410,343,114.89795918367346
CAN,2020-07-16,45862,451,101.68957871396896
CAN,2020-07-17,50286,415,121.1710843373494
CAN,2020-07-18,43763,316,138.4905063291139
CAN,2020-07-19,38738,293,132.21160409556313
CAN,2020-07-20,53088,770,68.94545454545455
CAN,2020-07-21,43098,535,80.5570093457944
CAN,2020-07-22,43050,317,135.8044164037855
CAN,2020-07-23,37544,608,61.75
CAN,2020-07-24,20161,717,28.11854951185495
CAN,2020-07-25,44444,355,125.1943661971831
CAN,2020-07-26,40023,319,125.46394984326018
CAN,2020-07-27,61880,682,90.73313782991202
CAN,2020-07-28,35362,400,88.405
CAN,2020-07-29,47373,486,97.4753086419753
CAN,2020-07-30,50060,320,156.4375
CAN,2020-07-31,53733,604,88.96192052980132
CAN,2020-08-01,48394,242,199.97520661157026
CAN,2020-08-02,44707,245,182.47755102040816
CAN,2020-08-03,34736,205,169.44390243902438
CAN,2020-08-04,58326,686,85.02332361516035
CAN,2020-08-05,36085,374,96.48395721925134
CAN,2020-08-06,46566,354,131.54237288135593
CAN,2020-08-07,48036,516,93.09302325581395
CAN,2020-08-08,36830,245,150.3265306122449
CAN,2020-08-09,43772,219,199.87214611872147
CAN,2020-08-10,57408,686,83.68513119533527
CAN,2020-08-11,36529,336,108.7172619047619
CAN,2020-08-12,39336,314,125.27388535031847
CAN,2020-08-13,54022,477,113.25366876310272
CAN,2020-08-14,50558,425,118.96
CAN,2020-08-15,55483,220,252.19545454545454
CAN,2020-08-16,37214,179,207.89944134078212
CAN,2020-08-17,61683,214,288.2383177570093
CAN,2020-08-18,40129,866,46.338337182448036
CAN,2020-08-19,45274,324,139.73456790123456
CAN,2020-08-20,48769,217,224.74193548387098
CAN,2020-08-21,59844,694,86.23054755043228
CAN,2020-08-22,42675,241,177.0746887966805
CAN,2020-08-23,38756,257,150.80155642023345
CAN,2020-08-24,53676,777,69.08108108108108
CAN,2020-08-25,35920,309,116.24595469255664
CAN,2020-08-26,40805,477,85.54507337526205
CAN,2020-08-27,48121,456,105.52850877192982
CAN,2020-08-28,61328,506,121.20158102766798
CAN,2020-08-29,46909,297,157.94276094276094
CAN,2020-08-30,38198,249,153.40562248995985
CAN,2020-08-31,63945,1030,62.08252427184466
CAN,2020-09-01,41157,504,81.66071428571429
CAN,2020-09-02,44519,519,85.77842003853564
CAN,2020-09-03,48635,586,82.99488054607508
CAN,2020-09-04,51906,614,84.53745928338762
CAN,2020-09-05,45202,370,122.16756756756757
CAN,2020-09-06,45216,379,119.30343007915567
CAN,2020-09-07,60853,405,150.25432098765432
CAN,2020-09-08,49241,1462,33.68057455540356
CAN,2020-09-09,38727,378,102.45238095238095
CAN,2020-09-10,49718,821,60.557856272838
CAN,2020-09-11,66764,720,92.72777777777777
CAN,2020-09-12,22922,488,46.971311475409834
CAN,2020-09-13,85216,476,179.0252100840336
CAN,2020-09-14,80997,1458,55.553497942386834
CAN,2020-09-15,56695,802,70.69201995012469
CAN,2020-09-16,62497,952,65.64810924369748
CAN,2020-09-17,67406,1027,65.63388510223953
CAN,2020-09-18,67739,1174,57.69931856899489
CAN,2020-09-19,64345,554,116.14620938628158
CAN,2020-09-20,64334,1143,56.28521434820647
CAN,2020-09-21,80063,1833,43.678668848881614
CAN,2020-09-22,68438,1272,53.80345911949686
CAN,2020-09-23,66679,1084,61.5119926199262
